Round8, ROCAUC0.84, LOGLOSS0.423328819343, F1 SCORE0.533947065593,
Round9, ROCAUC0.631724137931, LOGLOSS0.9434869124, F1 SCORE0.556164383562,
Round10, ROCAUC0.555555555556, LOGLOSS0.669985589118, F1 SCORE0.446115288221,
Round11, ROCAUC0.666666666667, LOGLOSS0.645077589613, F1 SCORE0.423503325942,
Round12, ROCAUC0.798701298701, LOGLOSS0.633144500256, F1 SCORE0.616161616162,
Round13, ROCAUC0.461111111111, LOGLOSS0.668925860707, F1 SCORE0.395061728395,
Round14, ROCAUC0.693989071038, LOGLOSS0.56686100224, F1 SCORE0.683333333333,
Round15, ROCAUC0.608441558442, LOGLOSS1.70129042885, F1 SCORE0.402160864346,
Round16, ROCAUC0.759109311741, LOGLOSS0.573803361825, F1 SCORE0.638095238095,
Round17, ROCAUC0.653250773994, LOGLOSS0.652023281691, F1 SCORE0.383720930233,
Round18, ROCAUC0.71875, LOGLOSS0.66500436588, F1 SCORE0.633954451346,
Round19, ROCAUC0.642857142857, LOGLOSS0.630743115949, F1 SCORE0.537549407115,
Round20, ROCAUC0.621212121212, LOGLOSS0.649798736268, F1 SCORE0.494095418044,
Round21, ROCAUC0.596520763187, LOGLOSS0.695536825806, F1 SCORE0.41512605042,
Round22, ROCAUC0.503722084367, LOGLOSS1.09253324091, F1 SCORE0.485800200468,
Round23, ROCAUC0.563078216989, LOGLOSS0.682106450626, F1 SCORE0.583608724389,
Round24, ROCAUC0.789473684211, LOGLOSS0.614616609718, F1 SCORE0.649230769231,
Round25, ROCAUC0.6, LOGLOSS0.974988752178, F1 SCORE0.369693508471,
Round26, ROCAUC0.640350877193, LOGLOSS0.702666656794, F1 SCORE0.504334121355,
Round27, ROCAUC0.627966101695, LOGLOSS0.631970977499, F1 SCORE0.614634146341,
Round28, ROCAUC0.701704545455, LOGLOSS0.612382540718, F1 SCORE0.695993715632,
Round29, ROCAUC0.464673913043, LOGLOSS0.942558347942, F1 SCORE0.267441860465,
Round30, ROCAUC0.621031746032, LOGLOSS0.731709957123, F1 SCORE0.452546296296,
Round31, ROCAUC0.651162790698, LOGLOSS0.794260837015, F1 SCORE0.625088090204,
Round32, ROCAUC0.658163265306, LOGLOSS0.584946534106, F1 SCORE0.634782608696,
Round33, ROCAUC0.907407407407, LOGLOSS0.524352790298, F1 SCORE0.562211981567,
Round34, ROCAUC0.713942307692, LOGLOSS0.629429173274, F1 SCORE0.605943152455,
Round35, ROCAUC0.602564102564, LOGLOSS0.647516326392, F1 SCORE0.58679245283,
Round36, ROCAUC0.573333333333, LOGLOSS1.48234965175, F1 SCORE0.374699374699,
Round37, ROCAUC0.628666666667, LOGLOSS0.723402768373, F1 SCORE0.38330170778,
Round38, ROCAUC0.518518518519, LOGLOSS1.00623822524, F1 SCORE0.431704885344,
Round39, ROCAUC0.772321428571, LOGLOSS0.717743460391, F1 SCORE0.400682011935,
Round40, ROCAUC0.612882653061, LOGLOSS0.589018626855, F1 SCORE0.424778761062,
Round41, ROCAUC0.71724137931, LOGLOSS0.569444900627, F1 SCORE0.616596638655,
Round42, ROCAUC0.681773879142, LOGLOSS0.635295663889, F1 SCORE0.562629399586,
Round43, ROCAUC0.629166666667, LOGLOSS0.819906417915, F1 SCORE0.636363636364,
Round44, ROCAUC0.638888888889, LOGLOSS0.599463133067, F1 SCORE0.447693307342,
Round45, ROCAUC0.678571428571, LOGLOSS0.573146150137, F1 SCORE0.6,
Round46, ROCAUC0.719444444444, LOGLOSS0.625202143446, F1 SCORE0.643939393939,
TOTAL All round, ROCAUC[0.68338558 0.53439153 0.69084821 0.71296296 0.5622449  0.60714286
 0.73404255 0.74390244 0.84       0.63172414 0.55555556 0.66666667
 0.7987013  0.46111111 0.69398907 0.60844156 0.75910931 0.65325077
 0.71875    0.64285714 0.62121212 0.59652076 0.50372208 0.56307822
 0.78947368 0.6        0.64035088 0.6279661  0.70170455 0.46467391
 0.62103175 0.65116279 0.65816327 0.90740741 0.71394231 0.6025641
 0.57333333 0.62866667 0.51851852 0.77232143 0.61288265 0.71724138
 0.68177388 0.62916667 0.63888889 0.67857143 0.71944444], LOGLOSS[0.54084688 0.72217153 0.63332934 0.81590884 0.66009124 0.71362871
 0.50631704 0.68456915 0.42332882 0.94348691 0.66998559 0.64507759
 0.6331445  0.66892586 0.566861   1.70129043 0.57380336 0.65202328
 0.66500437 0.63074312 0.64979874 0.69553683 1.09253324 0.68210645
 0.61461661 0.97498875 0.70266666 0.63197098 0.61238254 0.94255835
 0.73170996 0.79426084 0.58494653 0.52435279 0.62942917 0.64751633
 1.48234965 0.72340277 1.00623823 0.71774346 0.58901863 0.5694449
 0.63529566 0.81990642 0.59946313 0.57314615 0.62520214], F1 SCORE[0.66386555 0.3980464  0.66569258 0.43956044 0.46028986 0.43974359
 0.69444444 0.46299056 0.53394707 0.55616438 0.44611529 0.42350333
 0.61616162 0.39506173 0.68333333 0.40216086 0.63809524 0.38372093
 0.63395445 0.53754941 0.49409542 0.41512605 0.4858002  0.58360872
 0.64923077 0.36969351 0.50433412 0.61463415 0.69599372 0.26744186
 0.4525463  0.62508809 0.63478261 0.56221198 0.60594315 0.58679245
 0.37469937 0.38330171 0.43170489 0.40068201 0.42477876 0.61659664
 0.5626294  0.63636364 0.44769331 0.6        0.64393939],
Mean Auc 0.653890657046,  Mean logloss 0.721343052271, Mean F1 0.522215175698,
